Date,CEMB,EMB,EWA,EWC,EWG,EWJ,EWL,EWN,EWQ,EWT,EWU,EWY,FXI,HYG,IEF,IGLB,IGSB,INDY,IVV,LQD,SHV,SHY,TIP,TLT
2016-05-23,32.30025100708008,68.44507598876953,12.789213180541992,19.5493106842041,19.75236701965332,37.836666107177734,24.44176483154297,19.373308181762695,18.30482292175293,15.489339828491211,21.512571334838867,40.77737045288086,24.80999183654785,49.01683044433594,87.46082305908203,39.04998779296875,39.92676544189453,21.20003890991211,174.12783813476562,83.78609466552734,88.5981216430664,69.65885162353516,85.43116760253906,98.87908172607422
2016-05-24,32.3709602355957,68.60616302490234,12.822312355041504,19.581729888916016,20.08183479309082,38.130985260009766,24.677087783813477,19.74186134338379,18.656545639038086,15.573131561279297,22.080829620361328,40.61177444458008,25.28937339782715,49.31155776977539,87.31733703613281,38.97150802612305,39.896446228027344,21.361995697021484,176.39035034179688,83.64517211914062,88.59007263183594,69.6096420288086,85.34882354736328,98.43940734863281
2016-05-25,32.31953430175781,68.79818725585938,12.901747703552246,19.946453094482422,20.277944564819336,38.39259719848633,24.806930541992188,19.91011619567871,18.84005355834961,15.728743553161621,22.351425170898438,41.32382583618164,25.753036499023438,49.388153076171875,87.2774887084961,39.004215240478516,39.930545806884766,21.97743034362793,177.5807342529297,83.79310607910156,88.5981216430664,69.65065002441406,85.41619110107422,98.06792449951172
2016-05-26,32.364524841308594,68.8229751586914,12.948081970214844,20.04371452331543,20.458370208740234,38.35988998413086,24.985456466674805,20.038311004638672,19.000621795654297,15.83647346496582,22.283775329589844,41.34865951538086,25.658729553222656,49.2467041015625,87.5485610961914,39.187252044677734,39.96844482421875,22.430904388427734,177.64825439453125,84.03266906738281,88.5981216430664,69.69173431396484,85.66316986083984,98.57588195800781
2016-05-27,32.737342834472656,68.78578186035156,12.961322784423828,20.04371452331543,20.395614624023438,38.26178741455078,25.02602767944336,20.04632568359375,18.924165725708008,15.896322250366211,22.20259666442871,41.22447204589844,25.808042526245117,49.32923889160156,87.38111877441406,39.128421783447266,39.93812561035156,22.657642364501953,178.3827362060547,83.96930694580078,88.58209228515625,69.65065002441406,85.5508804321289,98.43180847167969
2016-05-31,32.396671295166016,68.74860382080078,12.87526798248291,19.84108543395996,20.3406982421875,38.556114196777344,24.7825870513916,19.95819091796875,18.885927200317383,15.968143463134766,21.81022834777832,41.19962692260742,26.444608688354492,49.282108306884766,87.48477935791016,39.16111373901367,39.97222137451172,22.584762573242188,178.1040802001953,84.1172103881836,88.59007263183594,69.68350982666016,85.42366027832031,98.66680145263672
2016-06-01,32.42377471923828,68.98746490478516,12.85540771484375,19.889720916748047,20.364229202270508,38.523406982421875,24.896194458007812,20.06235122680664,18.878280639648438,16.099815368652344,21.688457489013672,41.34865951538086,26.279571533203125,49.36021423339844,87.45525360107422,39.251651763916016,39.96689987182617,22.57666778564453,178.44183349609375,84.17655944824219,88.59088897705078,69.63502502441406,85.29337310791016,99.067138671875
2016-06-02,32.378597259521484,69.11185455322266,12.75611686706543,19.946453094482422,20.395614624023438,38.196388244628906,24.97734260559082,20.094392776489258,18.916515350341797,16.14769744873047,21.783166885375977,41.81232452392578,26.507474899291992,49.37210464477539,87.7266616821289,39.38943099975586,39.963111877441406,22.819599151611328,179.02430725097656,84.34616088867188,88.59894561767578,69.69255065917969,85.58535766601562,99.78112030029297
2016-06-03,32.481807708740234,69.6591796875,13.001038551330566,20.30307388305664,20.48974609375,38.35988998413086,25.099063873291016,20.206567764282227,19.008270263671875,16.37512969970703,22.013181686401367,42.607173919677734,26.538909912109375,49.460941314697266,88.54113006591797,39.9077033996582,40.04279327392578,22.973461151123047,178.4249267578125,85.02440643310547,88.59894561767578,69.80756378173828,86.13935852050781,101.20159912109375
2016-06-06,32.3657112121582,69.78977966308594,13.146676063537598,20.578645706176758,20.52112579345703,38.75232696533203,25.212669372558594,20.206567764282227,19.07708168029785,16.446949005126953,21.999649047851562,43.10395050048828,26.876832962036133,49.68008041381836,88.30960083007812,39.874900817871094,40.027591705322266,22.981555938720703,179.41265869140625,84.81951904296875,88.6149673461914,69.79115295410156,86.23672485351562,100.44960021972656
