Date,CEMB,EMB,EWA,EWC,EWG,EWJ,EWL,EWN,EWQ,EWT,EWU,EWY,FXI,HYG,IEF,IGLB,IGSB,INDY,IVV,LQD,SHV,SHY,TIP,TLT
2016-06-27,32.15580368041992,69.76774597167969,12.155308723449707,19.205400466918945,18.05596160888672,36.97799301147461,22.969459533691406,17.48280906677246,16.38519859313965,15.992085456848145,19.125473022460938,40.52897644042969,25.442829132080078,48.348724365234375,90.06694030761719,40.6715087890625,39.977272033691406,22.014461517333984,169.7276611328125,85.64649963378906,88.40528869628906,69.86360168457031,85.93391418457031,105.2994613647461
2016-06-28,32.284297943115234,70.28174591064453,12.4995756149292,19.498111724853516,18.42622184753418,37.5352783203125,23.485164642333984,17.869171142578125,16.883113861083984,16.38709831237793,19.94572639465332,41.80404281616211,26.055715560913086,48.955684661865234,90.05104064941406,40.678043365478516,40.01505661010742,22.43610382080078,172.900146484375,86.11810302734375,88.38928985595703,69.88818359375,86.22991943359375,105.51886749267578
2016-06-29,32.56058120727539,70.98780059814453,12.658468246459961,19.815221786499023,18.678314208984375,38.027008056640625,23.804412841796875,18.215288162231445,17.18185806274414,16.698322296142578,20.465213775634766,42.781044006347656,26.52717399597168,49.57441329956055,89.6849594116211,40.61927032470703,40.03395462036133,22.857744216918945,175.79335021972656,86.08995819091797,88.38928985595703,69.86360168457031,86.17813873291016,104.70928192138672
2016-06-30,32.61838912963867,71.3160629272461,12.876946449279785,19.929054260253906,18.94615936279297,37.699188232421875,24.271007537841797,18.63384246826172,17.51890754699707,16.818023681640625,21.012046813964844,43.11223220825195,26.88862419128418,49.91027069091797,89.8838882446289,40.91971206665039,40.090641021728516,22.946935653686523,178.0774688720703,86.392578125,88.41329193115234,69.89639282226562,86.34095764160156,105.09513092041016
2016-07-01,32.52296829223633,71.58920288085938,12.936532020568848,20.18924903869629,19.001300811767578,37.63363265991211,24.401981353759766,18.601648330688477,17.534229278564453,17.009544372558594,21.012046813964844,43.74148941040039,27.092914581298828,50.0091552734375,90.12135314941406,41.47800064086914,40.10615539550781,23.230731964111328,178.61041259765625,86.84498596191406,88.43091583251953,69.92098999023438,87.01142120361328,106.55440521240234
2016-07-05,32.561649322509766,71.75096130371094,12.678329467773438,19.98596954345703,18.41046714782715,37.63363265991211,23.788042068481445,18.086502075195312,16.990352630615234,16.68635368347168,20.519899368286133,43.04599380493164,26.480030059814453,49.724945068359375,90.61546325683594,41.818721771240234,40.11751174926758,22.89828872680664,177.34996032714844,87.1414566040039,88.4148941040039,69.95378112792969,87.15261840820312,107.8884506225586
2016-07-06,32.51649856567383,71.85055541992188,12.83060359954834,20.107934951782227,18.355323791503906,37.63363265991211,23.853527069091797,17.96576499938965,16.9290714263916,16.57862091064453,20.342178344726562,42.4581413269043,26.41716957092285,49.944026947021484,90.63140106201172,41.91046142578125,40.10236740112305,22.97126007080078,178.3651123046875,87.29667663574219,88.39089965820312,69.92098999023438,87.36074829101562,108.06278991699219
2016-07-07,32.497169494628906,71.82560729980469,12.737915992736816,19.91279411315918,18.221399307250977,37.666412353515625,23.788042068481445,17.941614151000977,16.814165115356445,16.662412643432617,20.232812881469727,42.78932571411133,26.291440963745117,50.0091552734375,90.51184844970703,41.79251480102539,40.125064849853516,22.930721282958984,178.2128143310547,87.3108139038086,88.4148941040039,69.88814544677734,87.18234252929688,108.05520629882812
2016-07-08,32.709964752197266,72.39805603027344,13.049078941345215,20.034757614135742,18.63104248046875,37.92865753173828,23.9845027923584,18.33602523803711,17.120580673217773,16.91378402709961,20.465213775634766,43.43513870239258,26.857189178466797,50.67223358154297,90.68718719482422,42.205318450927734,40.121299743652344,23.303709030151367,180.9199676513672,87.79780578613281,88.40689086914062,69.88814544677734,87.37564849853516,108.85113525390625
2016-07-11,32.774436950683594,72.6034164428711,13.181492805480957,20.0510196685791,18.930400848388672,38.8465576171875,24.23007583618164,18.56945037841797,17.38102149963379,17.153188705444336,20.752300262451172,43.61729049682617,27.061491012573242,50.701812744140625,90.20903015136719,42.17256546020508,40.094791412353516,23.55506706237793,181.6051788330078,87.57196044921875,88.39089965820312,69.81439971923828,86.95191955566406,107.89605712890625
2016-07-12,32.806663513183594,72.35453796386719,13.419829368591309,20.384389877319336,19.22976303100586,39.076019287109375,24.213706970214844,18.770679473876953,17.70275115966797,17.3806209564209,21.148754119873047,44.21343231201172,27.611515045166016,50.84389877319336,89.6750717163086,41.84493637084961,40.053165435791016,23.7821102142334,182.88258361816406,87.07791900634766,88.39885711669922,69.78982543945312,86.66207885742188,106.12223815917969
2016-07-13,32.83246994018555,72.3918228149414,13.399964332580566,20.449438095092773,19.261276245117188,39.01046371459961,24.303752899169922,18.835073471069336,17.794673919677734,17.344707489013672,21.107742309570312,44.25482940673828,27.493654251098633,50.695899963378906,89.90621185302734,41.98907470703125,40.05696105957031,23.66048240661621,182.8656463623047,87.41663360595703,88.39089965820312,69.8061752319336,86.84786987304688,107.37297821044922
2016-07-14,32.845367431640625,72.42293548583984,13.539000511169434,20.66084098815918,19.560630798339844,39.076019287109375,24.516584396362305,18.98801040649414,17.978519439697266,17.512292861938477,21.285463333129883,45.107635498046875,27.941539764404297,50.79655456542969,89.53170013427734,41.759761810302734,40.049400329589844,23.903736114501953,183.8723907470703,87.2049560546875,88.39089965820312,69.76524353027344,86.62486267089844,105.81145477294922
