Date,IBOV,PTAX
2016-08-10,56920.0,
2016-08-11,58300.0,3.1247000694274902
2016-08-12,58298.0,3.1389999389648438
2016-08-15,59146.0,3.190500020980835
2016-08-16,58855.0,3.184799909591675
2016-08-17,59324.0,3.201200008392334
2016-08-18,59166.0,3.2047998905181885
2016-08-19,59099.0,3.2379000186920166
2016-08-22,57781.0,3.2044999599456787
2016-08-23,58020.0,3.198699951171875
2016-08-24,57718.0,3.2355000972747803
2016-08-25,57722.0,3.223299980163574
2016-08-26,57716.0,3.228300094604492
2016-08-29,58610.0,3.2641000747680664
2016-08-30,58575.0,3.22760009765625
2016-08-31,57901.0,3.236799955368042
2016-09-01,58236.0,3.2260000705718994
2016-09-02,59616.0,3.253200054168701
2016-09-05,59566.0,3.2560999393463135
2016-09-06,60129.0,3.267199993133545
2016-09-07,,3.1963000297546387
2016-09-08,60232.0,3.190700054168701
2016-09-09,58000.0,3.214900016784668
2016-09-12,58586.0,3.271699905395508
2016-09-13,56821.0,3.2469000816345215
2016-09-14,57059.0,3.3141000270843506
2016-09-15,57909.0,3.3434998989105225
2016-09-16,57080.0,3.299799919128418
2016-09-19,57350.0,3.265500068664551
2016-09-20,57736.0,3.271199941635132
2016-09-21,58394.0,3.2560999393463135
2016-09-22,58994.0,3.2095999717712402
2016-09-23,58697.0,3.2170000076293945
2016-09-26,58054.0,3.2432000637054443
2016-09-27,58382.0,3.240600109100342
2016-09-28,59356.0,3.232599973678589
2016-09-29,58351.0,3.2177999019622803
2016-09-30,58367.0,3.2592999935150146
2016-10-03,59461.0,3.2597999572753906
2016-10-04,59339.0,3.208699941635132
2016-10-05,60254.0,3.254499912261963
2016-10-06,60644.0,3.2184998989105225
2016-10-07,61109.0,3.2272000312805176
2016-10-10,61668.0,3.2193000316619873
2016-10-11,61022.0,3.202699899673462
2016-10-12,,3.1958999633789062
2016-10-13,61119.0,3.200700044631958
2016-10-14,61767.0,3.177299976348877
2016-10-17,62696.0,3.2019999027252197
2016-10-18,63782.0,3.204200029373169
2016-10-19,63506.0,3.1816999912261963
2016-10-20,63838.0,3.166100025177002
2016-10-21,64108.0,3.1391000747680664
2016-10-24,64060.0,3.148900032043457
2016-10-25,63866.0,3.124500036239624
2016-10-26,63826.0,3.1103999614715576
2016-10-27,64250.0,3.1387999057769775
2016-10-28,64308.0,3.165299892425537
2016-10-31,64925.0,3.2030999660491943
2016-11-01,63326.0,3.198199987411499
2016-11-02,,3.235100030899048
2016-11-03,61750.0,3.2525999546051025
2016-11-04,61598.0,3.2583999633789062
2016-11-07,64052.0,3.232300043106079
2016-11-08,64158.0,3.200900077819824
2016-11-09,63258.0,3.168100118637085
2016-11-10,61201.0,3.2330000400543213
2016-11-11,59184.0,3.3956000804901123
2016-11-14,59657.0,3.390000104904175
2016-11-15,,3.4402999877929688
2016-11-16,60759.0,3.441699981689453
2016-11-17,59770.0,3.450700044631958
2016-11-18,59962.0,3.4323999881744385
2016-11-21,61070.0,3.3822999000549316
2016-11-22,61954.0,3.387399911880493
2016-11-23,61986.0,3.363600015640259
2016-11-24,61396.0,3.4310998916625977
2016-11-25,61559.0,3.390700101852417
